ID,Brand,Product,Price,Category,Subcategory,gluten_free_score,image_url
10612,Winemakers Collection ,Gran Maestoso Primitivo 2021,16.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/0/6/010612.jpg.thumb.319.319.png
10971,Infinito Winemaker's Selection ,Malbec 2018,16.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/0/9/010971.jpg.thumb.319.319.png
11200,J.P. Chenet,Advent Calendar - Sparkling Wine,124.13,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/1/2/011200.jpg.thumb.319.319.png
11985,Jackson-Triggs ,Entourage with Icewine Dosage 2016,34.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/1/9/011985.jpg.thumb.319.319.png
12119,Dominio de Punctum,Pomelado Orange Wine 2022,18.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/2/1/012119.jpg.thumb.319.319.png
12650,Unwined Wines,Unwined Smooth White,9.30,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/2/6/012650.jpg.thumb.319.319.png
14775,Stel+Mar Wines,Premium Red Wine,2.75,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/4/7/014775.jpg.thumb.319.319.png
14776,Stel+Mar Wines,Premium White Wine,4.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/4/7/014776.jpg.thumb.319.319.png
15365,Three Dog,Three Dog Winery Dog House Rosé VQA,16.95,Wine,Rosé Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/3/015365.jpg.thumb.319.319.png
15561,Union,Union Wine Alchemist Pinot Noir 2021,44.30,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/5/015561.jpg.thumb.319.319.png
15712,,The Winery of Good Hope Full Berry Fermentation Pinotage 2021,16.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/5/7/015712.jpg.thumb.319.319.png
16361,Robertson Wines,Robertson Winery Chapel Red,12.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/6/3/016361.jpg.thumb.319.319.png
16878,The Audacity Of Thomas G. Bright,The Audacity of Thomas G. Bright Orange Wine VQA,13.85,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/6/8/016878.jpg.thumb.319.319.png
16974,Kim's Winery & Distillery,WineSoju,10.90,Spirits,Soju,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/6/9/016974.jpg.thumb.319.319.png
17620,Sarajishvili,Wine Brandy Sarajishvili 3*,32.60,Spirits,Cognac & Brandy,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/7/6/017620.jpg.thumb.319.319.png
18296,,Vale da Mata Red Wine 2018,21.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/8/2/018296.jpg.thumb.319.319.png
18685,,The Winery of Good Hope Bush Vine Chenin Blanc 2023,15.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/8/6/018685.jpg.thumb.319.319.png
18950,Fresita,Fresita Orange Sunset Sparkling Wine,14.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/8/9/018950.jpg.thumb.319.319.png
19251,Henkell Wines,Henkell Dealcoholized Sparkling Wine,11.95,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/9/2/019251.jpg.thumb.319.319.png
19881,,Bordertown Vineyards and Estate Winery Syrah 2018,33.75,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/9/8/019881.jpg.thumb.319.319.png
19907,,Paulett Wines Watervale Semillon 2019,22.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/1/9/9/019907.jpg.thumb.319.319.png
20086,Tyrrell's,Vat 8 Shiraz/Cabernet 2018,66.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/0/0/020086.jpg.thumb.319.319.png
20258,Hopetown Wine Co.,Hopetown Wine Co. Hill House Craft Red VQA,12.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/0/2/020258.jpg.thumb.319.319.png
20698,Stag's Leap,Stag's Leap Wine Cellars Hand of Time Red Blend 2019,55.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/0/6/020698.jpg.thumb.319.319.png
20938,House Wine Co. Wines,Red House Wine Co. Cabernet Merlot VQA,13.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/0/9/020938.jpg.thumb.319.319.png
21100,,Grove Estate Wines Hilltops Shiraz 2018,18.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/1/1/021100.jpg.thumb.319.319.png
21175,,Campbell Kind Wine Kautz Family Cabernet Sauvignon 2019,19.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/1/1/021175.jpg.thumb.319.319.png
21190,,La Bélière Red Organic Wine 2019,16.25,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/1/1/021190.jpg.thumb.319.319.png
21274,,Dugladze Tsolikouri White Wine 2018,16.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/1/2/021274.jpg.thumb.319.319.png
21698,,Campbell Kind Wine Tawse Riesling 2019,19.95,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/1/6/021698.jpg.thumb.319.319.png
21942,Aberfeldy,Aberfeldy 18 Paulliac French Red WIne Cask Finish,180.25,Spirits,Whisky,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/1/9/021942.jpg.thumb.319.319.png
21943,Writer's Tears,Writers Tears Inniskillin Ice Wine Cask Whiskey,108.55,Spirits,Whisky,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/1/9/021943.jpg.thumb.319.319.png
22500,Bottega,Bottega 0 Rose Non-Alcoholic Wine,10.05,Wine,Sparkling Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/2/5/022500.jpg.thumb.319.319.png
23026,Garage Wine Co.,Truquilemu Vineyard Lot 117 Dry Farmed Old Vines Field Blend Carignan 2020,66.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/3/0/023026.jpg.thumb.319.319.png
23289,Garage Wine Co.,Sauzal Vineyard Lot 105 Dry Farmed Old Vines Carignan/Garnacha/Monastrell 2019,61.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/3/2/023289.jpg.thumb.319.319.png
23292,Garage Wine Co.,Las Higueras Vineyard Lot 112 Old Bush-Head Vines Cabernet Franc 2019,46.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/3/2/023292.jpg.thumb.319.319.png
23297,Trizanne,Trizanne Signature Wines Reserve Syrah 2019,50.00,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/3/2/023297.jpg.thumb.319.319.png
23433,Garage Wine Co.,Isidore Vineyard Lot F4 Dry Farmed Old Vines Semillon 2021,48.25,Wine,White Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/3/4/023433.jpg.thumb.319.319.png
23983,,Bardet Dirty South Lil' Wine 2016,46.95,Wine,Red Wine,2,https://aem.lcbo.com/content/dam/lcbo/products/0/2/3/9/023983.jpg.thumb.319.319.png
